Question_ID,Answer_Score,Author_Name,Author_ID,Author_Rep,Number_Of_Comments,Answer_Accepted
401733,No answers,No user name,None,No reputation score,0,False
401730,No answers,No user name,None,No reputation score,0,False
401729,No answers,No user name,None,No reputation score,0,False
401728,No answers,No user name,None,No reputation score,0,False
401725,No answers,No user name,None,No reputation score,0,False
401723,No answers,No user name,None,No reputation score,0,False
401721,No answers,No user name,None,No reputation score,0,False
401718,No answers,No user name,None,No reputation score,0,False
401717,0,Timmy Jim,163757,51k,0,False
401714,No answers,No user name,None,No reputation score,0,False
401712,3,a cat,9752,25.6k,0,True
401710,0,andreszs,292865,151,1,False
401701,No answers,No user name,None,No reputation score,0,False
401700,7,JMcMinn,36662,446,3,True
401699,No answers,No user name,None,No reputation score,0,False
401697,1,Plagiatus,172377,"1,283",0,False
401695,1,Plagiatus,172377,"1,283",0,True
401693,1,Jakob Lovern,300024,146,0,False
401691,0,Jakob Lovern,300024,146,4,False
401690,4,pinckerman,87579,31.6k,0,True
401688,1,Jakob Lovern,300024,146,0,True
401686,No answers,No user name,None,No reputation score,0,False
401683,No answers,No user name,None,No reputation score,0,False
401682,No answers,No user name,None,No reputation score,0,False
401681,No answers,No user name,None,No reputation score,0,False
401680,No answers,No user name,None,No reputation score,0,False
401679,5,Timmy Jim,163757,51k,3,False
401677,No answers,No user name,None,No reputation score,0,False
401675,No answers,No user name,None,No reputation score,0,False
401674,No answers,No user name,None,No reputation score,0,False
401673,3,GPWR,300147,161,0,True
401665,1,FoxMcCloud,73403,29.9k,0,False
401663,1,Plagiatus,172377,"1,283",0,False
401662,1,vianna77,116230,"3,597",0,True
401661,1,Jakob Lovern,300024,146,0,False
401660,No answers,No user name,None,No reputation score,0,False
401658,0,Plagiatus,172377,"1,283",0,False
401652,1,ColinShark,219206,187,0,False
401651,No answers,No user name,None,No reputation score,0,False
401647,No answers,No user name,None,No reputation score,0,False
401644,No answers,No user name,None,No reputation score,0,False
401643,No answers,No user name,None,No reputation score,0,False
401641,5,Showsni,235115,"1,334",0,True
401637,0,Blue Robin,267416,456,4,False
401634,No answers,No user name,None,No reputation score,0,False
401633,No answers,No user name,None,No reputation score,0,False
401632,No answers,No user name,None,No reputation score,0,False
401630,No answers,No user name,None,No reputation score,0,False
401629,No answers,No user name,None,No reputation score,0,False
401624,1,Turamarth,294376,231,0,True
401622,0,Jakob Lovern,300024,146,0,True
401621,No answers,No user name,None,No reputation score,0,False
401620,0,Leo S.,279380,800,0,False
401619,0,Plagiatus,172377,"1,283",2,False
401618,0,Nestor,191668,411,0,True
401617,No answers,No user name,None,No reputation score,0,False
401615,1,pinckerman,87579,31.6k,2,True
401614,1,Plagiatus,172377,"1,283",0,False
401613,1,nondebug,195196,531,0,False
401610,No answers,No user name,None,No reputation score,0,False
401608,21,Oast,282847,"1,594",1,False
401603,1,Thomas Koelle,237663,179,0,False
401601,2,Plagiatus,172377,"1,283",0,True
401596,No answers,No user name,None,No reputation score,0,False
401595,32,pinckerman,87579,31.6k,7,True
401591,6,d4zed,241385,381,0,True
401587,0,pinckerman,87579,31.6k,0,False
401586,No answers,No user name,None,No reputation score,0,False
401585,No answers,No user name,None,No reputation score,0,False
401582,2,Semlan Bakelsen,268353,"1,143",0,False
401580,No answers,No user name,None,No reputation score,0,False
401579,1,Timmy Jim,163757,51k,0,True
401578,0,Blue Robin,267416,456,0,False
401576,9,Joachim,222022,16.9k,3,True
401573,7,Skye-AT,282193,"2,852",1,True
401572,No answers,No user name,None,No reputation score,0,False
401569,0,Malady,108916,"4,283",0,False
401568,-1,Blue Robin,267416,456,1,False
401561,12,alexanderpas,29,17.5k,2,True
401559,0,Plagiatus,172377,"1,283",0,False
401550,1,Fabian Röling,171580,20k,0,False
401541,No answers,No user name,None,No reputation score,0,False
401540,2,Skye-AT,282193,"2,852",0,True
401538,1,ELF,107398,26,0,True
401537,No answers,No user name,None,No reputation score,0,False
401536,No answers,No user name,None,No reputation score,0,False
401534,No answers,No user name,None,No reputation score,0,False
401531,2,Spevacus,242480,"2,147",0,True
401530,No answers,No user name,None,No reputation score,0,False
401529,0,Comic Sans Seraphim,53291,43.3k,0,True
401527,0,Paul Z,8901,"6,922",3,True
401526,No answers,No user name,None,No reputation score,0,False
401525,No answers,No user name,None,No reputation score,0,False
401522,1,Kevin,91981,"4,892",0,False
401521,0,Stevoisiak,181240,29.8k,0,False
401519,0,chebureki,277996,629,0,False
401518,No answers,No user name,None,No reputation score,0,False
401515,2,pinckerman,87579,31.6k,5,True
401513,1,Kevin Reid,5962,15.1k,2,False
401506,No answers,No user name,None,No reputation score,0,False
401505,No answers,No user name,None,No reputation score,0,False
401503,17,a cat,9752,25.6k,3,True
401499,0,GigiSan,299316,111,0,True
401498,No answers,No user name,None,No reputation score,0,False
401497,4,Fabian Röling,171580,20k,0,True
401494,No answers,No user name,None,No reputation score,0,False
401492,4,Chronocidal,205229,600,0,False
401491,3,pppery,185203,"3,675",0,False
401489,1,hb20007,227982,271,0,True
401488,No answers,No user name,None,No reputation score,0,False
401487,No answers,No user name,None,No reputation score,0,False
401486,No answers,No user name,None,No reputation score,0,False
401483,7,Skye-AT,282193,"2,852",0,True
401482,No answers,No user name,None,No reputation score,0,False
401481,No answers,No user name,None,No reputation score,0,False
401479,No answers,No user name,None,No reputation score,0,False
401478,No answers,No user name,None,No reputation score,0,False
401466,24,Nolonar,46740,43.5k,3,False
401459,4,Nolonar,46740,43.5k,0,True
401458,4,Chris Hayes,74514,"4,885",4,True
401457,0,Margaret,144,"6,006",0,False
401454,1,Neon1024,5357,25k,0,True
401451,No answers,No user name,None,No reputation score,0,False
401450,1,Ben,73976,40.8k,3,True
401442,No answers,No user name,None,No reputation score,0,False
401441,No answers,No user name,None,No reputation score,0,False
401438,1,pinckerman,87579,31.6k,0,True
401436,No answers,No user name,None,No reputation score,0,False
401435,5,Space Turnip,299637,136,1,False
401433,No answers,No user name,None,No reputation score,0,False
401430,No answers,No user name,None,No reputation score,0,False
401429,8,king14nyr,122225,"7,099",0,True
401428,No answers,No user name,None,No reputation score,0,False
401427,No answers,No user name,None,No reputation score,0,False
401414,4,Plagiatus,172377,"1,283",0,False
401411,1,Marios,286733,326,0,True
401404,No answers,No user name,None,No reputation score,0,False
401403,No answers,No user name,None,No reputation score,0,False
401402,No answers,No user name,None,No reputation score,0,False
401401,No answers,No user name,None,No reputation score,0,False
401399,1,Gregory Smith,299473,11,0,False
401397,0,Stevoisiak,181240,29.8k,0,True
401396,No answers,No user name,None,No reputation score,0,False
401395,No answers,No user name,None,No reputation score,0,False
401393,0,Stevoisiak,181240,29.8k,0,True
401392,No answers,No user name,None,No reputation score,0,False
401391,No answers,No user name,None,No reputation score,0,False
401390,No answers,No user name,None,No reputation score,0,False
401388,3,Shadur,7864,14.3k,1,False
401383,No answers,No user name,None,No reputation score,0,False
401379,7,Space Turnip,299637,136,0,True
401378,1,Plagiatus,172377,"1,283",0,True
401377,1,AdamRaichu,281304,873,0,True
401374,1,Joachim,222022,16.9k,1,True
401373,4,Skye-AT,282193,"2,852",1,True
401371,0,Macho Onion,286049,347,0,False
401365,1,Tim Fisher,203851,183,1,True
401364,No answers,No user name,None,No reputation score,0,False
401361,2,Tim S.,62979,"7,213",1,True
401359,1,Andreas,286374,51,0,False
401358,No answers,No user name,None,No reputation score,0,False
401353,1,Roman Sheydvasser,299384,11,0,False
401352,No answers,No user name,None,No reputation score,0,False
401350,No answers,No user name,None,No reputation score,0,False
401346,No answers,No user name,None,No reputation score,0,False
401344,1,Chronocidal,205229,600,0,True
401341,6,Joachim,222022,16.9k,2,False
