Title,Post Id,Name of poster,Id of poster,Time,Question score,Question views,Question answers,Tags,Closed,Accepted answer
What game does this soundtrack snippet belong to? [closed],401733,KiralyCraft,259732,9 hours ago,0,36,0,['game-identification'],True,False
Cities Skylines: Goods vehicles wont use the bypass to the cargo harbour (except ones owned by the cargo harbour??),401730,mr moomooface,300309,10 hours ago,1,14,0,['cities-skylines'],False,False
Friend can't connect to Minecraft server on Pocket (Bedrock) Edition,401729,Hazel,300307,10 hours ago,0,2,0,['minecraft-bedrock-edition'],False,False
"I have an area where the gamemode will be Adventure mode, But I can't figure out what command to use or where to make the gamemode survival if outside",401728,user300305,300305,11 hours ago,0,6,0,"['minecraft-commands', 'cheats']",False,False
How do I use jigsaw blocks to make random mazes?,401725,Carl papa,299557,12 hours ago,1,20,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Connect to Minecraft with vless server (VPN or v2ray),401723,Am.Shekari,300296,16 hours ago,0,14,0,['minecraft-java-edition'],False,False
FIFA 18 installation stuck at 0.9% [closed],401721,Sai Mishra,300288,21 hours ago,-4,23,0,['fifa-18'],True,False
Suppressing a button input of an xbox controller [closed],401718,M Case,300277,yesterday,0,18,0,"['pc', 'controllers']",True,False
What is this Minecraft mod? [closed],401717,Alden Graham,300275,yesterday,-1,42,1,"['minecraft-java-edition', 'mod-identification']",True,False
Ethernet randomly disconnects when Minecraft server is running [closed],401714,Max Brennan,300270,yesterday,0,17,0,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
Is there a way to easily spot unopened chests?,401712,Fredy31,15236,yesterday,1,45,1,['genshin-impact'],False,False
What is the 'safe zone' in the lost woods?,401710,Fredy31,15236,yesterday,2,67,2,['zelda-breath-of-the-wild'],False,False
"What's the point of ""Strange Hotel"" functionality in ""Puzzle Spy"" mobile game",401701,DVK,7912,2 days ago,1,20,0,['puzzle-spy'],False,False
How do I kill Wilhelm? [duplicate],401700,Alan,24523,2 days ago,0,33,0,['borderlands-2'],False,False
How do I make a level to a file and send it without verifying it?,401699,Maximilian Reimer,300228,2 days ago,0,12,0,['geometry-dash'],False,False
How to copy NBT data from item to item?,401697,ChadBroski01,296776,2 days ago,1,20,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Replacing water blocks with lava,401695,Jason C,71031,2 days ago,0,26,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Do third party Xbox controllers work as well on Windows 10?,401693,dangowans,30770,2 days ago,0,19,1,"['controllers', 'xbox-one', 'windows-10']",False,False
What exactly does it mean to “kill” a character’s past?,401691,hb20007,227982,2 days ago,0,45,1,['enter-the-gungeon'],False,False
Can I replay levels in Hi-Fi Rush?,401690,Stevoisiak,181240,2 days ago,2,30,1,['hi-fi-rush'],False,False
What are the chances of each music disc drops from creepers?,401688,asuno__,300203,Feb 19 at 2:08,-1,38,1,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
What is the mechanical Effect of a wall?,401686,Trish,266307,Feb 18 at 21:48,1,15,0,['emperor-rise-of-the-middle-kingdom'],False,False
Why can't I run any .io games? [closed],401683,AlirezaBest,300184,Feb 18 at 16:51,0,39,0,"['agar.io', 'diep.io', 'surviv.io']",True,False
"Windows 11 - minecraft ""Checking game assets..."" error [closed]",401682,Christianidis Vasileios,292893,Feb 18 at 15:43,0,44,0,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
How to change granny speed? [closed],401681,Вова Плей - Vova Play,300177,Feb 18 at 12:55,-1,27,0,['unity-games'],True,False
Raid bosses haven’t appeared in 1 year. Am I locked out?,401680,Mastermuon,300175,Feb 18 at 12:38,0,62,0,['pokemon-go'],False,False
Where is this location in the Witcher 3?,401679,Thorbjørn Ravn Andersen,3734,Feb 18 at 10:32,7,131,2,['the-witcher-3'],False,False
How to get worlds back after reinstalling Minecraft?,401677,Zoe INFANTINO,300155,Feb 17 at 23:12,0,14,0,['minecraft-bedrock-edition'],False,False
Is the Nintendo DS Lite screen protocol pixel based?,401675,zomega,291660,Feb 17 at 19:20,0,26,0,"['hardware', 'nintendo-ds']",False,False
Dragonvale facebook login issues [closed],401674,Wolfox,300146,Feb 17 at 17:58,-1,31,0,"['technical-issues', 'dragonvale']",True,False
Where is SuperTux user folder located on latest Debian Bullseye Stable install?,401673,GPWR,300147,Feb 17 at 17:54,3,29,1,"['linux', 'supertux']",False,False
Why Does My Ancient Magic Bar Deplete Upon Save and Exit?,401665,Lore Friendly,15184,Feb 17 at 6:00,0,72,1,['hogwarts-legacy'],False,False
How to make tags visible,401663,Zac Roberson,292701,Feb 17 at 4:06,1,19,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
What is it and where can I find or take those holopics?,401662,vianna77,116230,Feb 17 at 4:04,1,30,1,['gamedec'],False,False
Is there a way to surround a weapon in particles in minecraft bedrock edition,401661,Zac Roberson,292701,Feb 17 at 2:45,1,26,2,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
What game does this picture illustrate? [closed],401660,Anixx,229590,Feb 16 at 23:50,-4,82,0,['game-identification'],True,False
How Do i Get Cursed Text in Minecraft Java Edition? [duplicate],401658,Wes2368,300113,Feb 16 at 19:45,-2,54,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
"After dropping an item on the ground, it doesn't get auto-picked up for a while. How to reset?",401652,user985366,124685,Feb 16 at 18:29,2,29,1,['valheim'],False,False
Create sims 4 face,401651,Moryn Oey,300111,Feb 16 at 17:59,0,13,0,['the-sims-4'],False,False
What is meant by 'Commitments' for Evil Genius 2?,401647,Pyrotechnical,186261,Feb 16 at 14:31,1,32,0,['evil-genius-2'],False,False
Does advancing time expire potion effects?,401644,BlueRaja - Danny Pflughoeft,2578,Feb 16 at 12:08,3,60,0,['hogwarts-legacy'],False,False
How do I tell how much time is left on Felix Felicis?,401643,BlueRaja - Danny Pflughoeft,2578,Feb 16 at 12:07,1,60,0,['hogwarts-legacy'],False,False
What happens if you transfer a fully EV trained LVL 100 Pokémon from Gen 2 to Pokémon Home?,401641,Treborrr,300100,Feb 16 at 5:02,2,376,1,"['pokemon-series', 'pokemon-second-generation']",False,False
What are the best uses for iron in bedrock Minecraft? [closed],401637,Nolan Kirkham,300091,Feb 15 at 22:40,0,47,1,['minecraft-bedrock-edition'],True,False
New PS4 controller won't charge nor turn on [closed],401634,Nag Nag,300089,Feb 15 at 20:46,-1,25,0,"['ps4', 'controllers']",True,False
PS5 dualsense controller disconnecting,401633,Antthingcanwork2,300088,Feb 15 at 20:22,1,22,0,"['controllers', 'ps5']",False,False
Cross region steam gifting?,401632,RyzeAndFall,300081,Feb 15 at 19:20,1,50,0,['steam'],False,False
Is it possible to reduce Minecraft server performance demand by locally storing parts of the terrain as a non-host player?,401630,Terkan Tyr,300072,Feb 15 at 16:28,2,33,0,['minecraft-java-edition'],False,False
How to set spawn in the Nether,401629,vinzzz001,296788,Feb 15 at 13:58,1,68,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
How to verify if a card is banned/limited/semi-limited for an event festival,401624,prout,205500,Feb 15 at 7:21,1,64,1,['yu-gi-oh-master-duel'],False,False
Maximizing unarmed damage in skyrim,401622,Jakob Lovern,300024,Feb 15 at 4:09,0,87,1,['game-identification'],True,False
Halo Infinite doesn't detect when i regain internet,401621,Millard,300024,Feb 15 at 1:04,-2,32,0,['cities-skylines'],False,False
How do I play Call of Duty with a mouse and keyboard on a PS3?,401620,Maxime Gilbert,300057,Feb 14 at 23:56,-2,65,1,['minecraft-bedrock-edition'],False,False
How to make placed blocks disappear after a certain amount of time?,401619,CealDP,300054,Feb 14 at 20:06,1,40,1,"['minecraft-commands', 'cheats']",False,False
Cyberpunk 2077 cloud sync conflict on launch,401618,Nestor,191668,Feb 14 at 19:13,0,38,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How do I play recorded audio in JavaScript with Web API Effects [closed],401617,Zack Hugh,300041,Feb 14 at 14:57,-2,26,0,['minecraft-java-edition'],False,False
How to solve the electric box riddle in Ace Ventura Game?,401615,Adam,88683,Feb 14 at 14:15,1,57,1,['fifa-18'],True,False
